,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lam,param_reg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,31.54291158914566,0.2924202703452282,0.2662312984466553,0.02445359180047564,0.1,<class 'keras.regularizers.L1'>,"{'lam': 0.1, 'reg': <class 'keras.regularizers.L1'>}",0.9559999704360962,0.9495000243186951,0.8865000009536743,0.9664999842643738,0.9396249949932098,0.03126574029573019,12
1,31.45886319875717,0.17894906406792666,0.24208813905715942,0.008980404190628491,0.1,<class 'keras.regularizers.L2'>,"{'lam': 0.1, 'reg': <class 'keras.regularizers.L2'>}",0.9789999723434448,0.984000027179718,0.9754999876022339,0.9815000295639038,0.9800000041723251,0.003142470088358943,5
2,31.33457040786743,0.1069380178857728,0.2629486322402954,0.023695118670685054,0.1,<function l1_l2 at 0x7f07b1dde200>,"{'lam': 0.1, 'reg': <function l1_l2 at 0x7f07b1dde200>}",0.9764999747276306,0.9785000085830688,0.9769999980926514,0.9639999866485596,0.9739999920129776,0.005820227797756901,10
3,32.22373974323273,0.8156234077543861,0.2392849326133728,0.008933388287333513,0.01,<class 'keras.regularizers.L1'>,"{'lam': 0.01, 'reg': <class 'keras.regularizers.L1'>}",0.9804999828338623,0.9595000147819519,0.9745000004768372,0.9779999852180481,0.9731249958276749,0.008149949404432106,11
4,31.821810364723206,0.3277533912932526,0.26771730184555054,0.025837299873622318,0.01,<class 'keras.regularizers.L2'>,"{'lam': 0.01, 'reg': <class 'keras.regularizers.L2'>}",0.9674999713897705,0.9785000085830688,0.9779999852180481,0.9779999852180481,0.9754999876022339,0.004623320274523503,9
5,32.43148481845856,1.0911485133978538,0.27790915966033936,0.016825860167898804,0.01,<function l1_l2 at 0x7f07b1dde200>,"{'lam': 0.01, 'reg': <function l1_l2 at 0x7f07b1dde200>}",0.9835000038146973,0.9735000133514404,0.9794999957084656,0.9735000133514404,0.9775000065565109,0.004242635236129786,7
6,31.52640163898468,0.21584552146531497,0.24640506505966187,0.004855256222588585,0.001,<class 'keras.regularizers.L1'>,"{'lam': 0.001, 'reg': <class 'keras.regularizers.L1'>}",0.9745000004768372,0.9810000061988831,0.9800000190734863,0.9775000214576721,0.9782500118017197,0.0025124721435559167,6
7,32.16011714935303,0.20169410150749684,0.2619825005531311,0.024621368895087137,0.001,<class 'keras.regularizers.L2'>,"{'lam': 0.001, 'reg': <class 'keras.regularizers.L2'>}",0.9835000038146973,0.9789999723434448,0.9804999828338623,0.9815000295639038,0.981124997138977,0.001634600814624696,2
8,31.71965491771698,0.1095237716327753,0.2525174021720886,0.009952317858421211,0.001,<function l1_l2 at 0x7f07b1dde200>,"{'lam': 0.001, 'reg': <function l1_l2 at 0x7f07b1dde200>}",0.9754999876022339,0.984000027179718,0.9794999957084656,0.9829999804496765,0.9804999977350235,0.0033354244508162385,4
9,33.587562561035156,0.5605637880252944,0.31470149755477905,0.06616951590491484,0.0001,<class 'keras.regularizers.L1'>,"{'lam': 0.0001, 'reg': <class 'keras.regularizers.L1'>}",0.9785000085830688,0.9785000085830688,0.972000002861023,0.9804999828338623,0.9773750007152557,0.003208870540388809,8
10,32.180109322071075,0.6209583795606761,0.24746227264404297,0.013163673852880997,0.0001,<class 'keras.regularizers.L2'>,"{'lam': 0.0001, 'reg': <class 'keras.regularizers.L2'>}",0.9815000295639038,0.9850000143051147,0.9819999933242798,0.9739999771118164,0.9806250035762787,0.004052405514579694,3
11,31.705667734146118,0.2999547344861389,0.2704147696495056,0.02211751666329719,0.0001,<function l1_l2 at 0x7f07b1dde200>,"{'lam': 0.0001, 'reg': <function l1_l2 at 0x7f07b1dde200>}",0.9829999804496765,0.9850000143051147,0.9804999828338623,0.9835000038146973,0.9829999953508377,0.0016201965055707246,1
