,validation,training,group
0,1.0,0.75,20
1,1.0,0.75,20
2,1.0,0.75,20
3,1.0,0.75,20
4,1.0,1.0,20
5,1.0,1.0,20
6,1.0,0.25,20
7,1.0,0.5,20
8,1.0,0.75,20
9,1.0,0.5,20
10,1.0,0.5,50
11,1.0,1.0,50
12,1.0,0.9,50
13,1.0,0.9,50
14,1.0,1.0,50
15,1.0,0.9,50
16,1.0,0.9,50
17,1.0,0.7,50
18,1.0,0.9,50
19,1.0,0.9,50
20,1.0,0.85,100
21,1.0,0.8,100
22,1.0,0.8,100
23,1.0,0.9,100
24,1.0,0.8,100
25,1.0,0.75,100
26,1.0,1.0,100
27,1.0,0.8,100
28,1.0,0.85,100
29,1.0,0.9,100
30,1.0,0.9666666666666667,150
31,1.0,0.8,150
32,1.0,0.8,150
33,1.0,0.8666666666666667,150
34,1.0,1.0,150
35,1.0,0.9,150
36,1.0,0.8333333333333334,150
37,1.0,0.9333333333333333,150
38,1.0,0.9333333333333333,150
39,1.0,0.9333333333333333,150
40,1.0,0.9,200
41,1.0,0.95,200
42,1.0,0.875,200
43,1.0,0.875,200
44,1.0,0.825,200
45,1.0,0.875,200
46,1.0,0.875,200
47,1.0,0.875,200
48,1.0,0.875,200
49,1.0,0.925,200
50,1.0,0.9,250
51,1.0,0.88,250
52,1.0,0.9,250
53,1.0,0.94,250
54,1.0,0.9,250
55,1.0,0.84,250
56,1.0,0.9,250
57,1.0,0.96,250
58,1.0,0.98,250
59,1.0,0.8,250
60,1.0,0.9,300
61,1.0,0.9166666666666666,300
62,1.0,0.9333333333333333,300
63,1.0,0.9333333333333333,300
64,1.0,0.9333333333333333,300
65,1.0,0.95,300
66,1.0,0.9666666666666667,300
67,1.0,0.9333333333333333,300
68,1.0,0.8833333333333333,300
69,1.0,0.9166666666666666,300
70,1.0,0.95,400
71,1.0,0.9375,400
72,1.0,0.9625,400
73,1.0,0.95,400
74,1.0,0.9375,400
75,1.0,0.825,400
76,1.0,0.975,400
77,1.0,0.925,400
78,1.0,0.9,400
79,1.0,0.925,400
80,1.0,0.92,500
81,1.0,0.91,500
82,1.0,0.9,500
83,1.0,0.92,500
84,1.0,0.92,500
85,1.0,0.93,500
86,1.0,0.91,500
87,1.0,0.89,500
88,1.0,0.9,500
89,1.0,0.91,500
